(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0CQ3KHJKP,B0CPGFWPSM,"TPS NUTRIENTS Dracaena Fertilizer for All Dracaena Plants and Trees, Liquid Plant Food, 32 oz (1 Quart)",10,0,0.01%,0.00%,18,0,0.01%,0.00%,100.00%,0.00%,3,0,30.00%,0.00%,$74.97,$0.00,3,0
B0CQ3JPCG8,B0CPGGCP7Q,"Jasmine Fertilizer for All Flowering Jasmine Shrubs and Vines, Liquid Plant Food 1 Gallon (128oz)",14,0,0.01%,0.00%,29,0,0.01%,0.00%,100.00%,0.00%,4,0,28.57%,0.00%,$199.96,$0.00,3,0
B0CQ3JRR5T,B0CPGHF4NH,"Banana Tree Fertilizer for All Banana Tree Plants, Liquid Plant Food 1 Gallon (128oz)",18,0,0.01%,0.00%,19,0,0.01%,0.00%,100.00%,0.00%,3,0,16.67%,0.00%,$149.97,$0.00,3,0
B0CQ3KN61F,B0CPGHS2TP,"TPS NUTRIENTS Aloe Vera Fertilizer for All Aloe and Succulent Plants, Liquid Plant Food, 32 oz (1 Quart)",15,0,0.01%,0.00%,18,0,0.01%,0.00%,100.00%,0.00%,3,0,20.00%,0.00%,$74.97,$0.00,3,0
B0CTJ9Q9M3,B0CTJ79Q7Z,"Root Supplement for Monstera Plants, Stimulate and Propagate Healthy Fig Tree Roots with Probiotics and Seaweed, Liquid Plant Fertilizer 8 oz (250mL)",15,1,0.01%,0.03%,21,1,0.01%,0.02%,100.00%,100.00%,3,0,20.00%,0.00%,$44.97,$0.00,3,0
B0D2ZFBZ8T,B0D2Z634HG,TPS NUTRIENTS Mycos for Transplanting and Established Garden Plants (16 Ounces),32,0,0.02%,0.00%,42,0,0.02%,0.00%,97.30%,0.00%,3,0,9.38%,0.00%,$74.97,$0.00,3,0
B0D2ZGQBZ4,B0D2ZQ4NPR,"TPS NUTRIENTS Mycorrhizal Fungi for Fruit Trees, Mycos for Transplanting and for Established Trees, Contains Mycorrhizae and Soil Probiotics (6 Ounces)",35,0,0.02%,0.00%,45,0,0.02%,0.00%,90.00%,0.00%,3,0,8.57%,0.00%,$35.97,$0.00,3,0
B0D2Z21X33,B0D2ZS393D,"TPS NUTRIENTS Root Stimulator for Trees, Great for Transplanting and Established Tree Roots, Soil Probiotics Including Mycorrhizae, Bacteria and Trichoderma (16 Ounces)",35,2,0.02%,0.05%,55,5,0.03%,0.10%,100.00%,100.00%,3,0,8.57%,0.00%,$74.97,$0.00,3,0
B0D4GN5ZSV,B0D4GCD83N,"Organic Kelp Meal Fertilizer, Dry Seaweed Granular for Plants and Gardening 6 oz (6 Ounces)",78,2,0.05%,0.05%,103,2,0.05%,0.04%,95.56%,100.00%,5,0,6.41%,0.00%,$59.95,$0.00,3,0
B0D4GPQ55S,B0D4GML2S7,"TPS NUTRIENTS Seaweed Extract for Plants Ultra Refined, Water Soluble Dry Flake Kelp Plant Fertilizer (6 Ounces)",36,0,0.02%,0.00%,53,0,0.03%,0.00%,100.00%,0.00%,3,0,8.33%,0.00%,$35.97,$0.00,3,0
B0D4JT8TV6,B0D4JHTRRQ,"Sulfur Fertilizer for Plants, Micronutrient Sulfur for Boosted Growth and Flowering, Liquid Plant Food 128 oz (1 Gallon)",39,6,0.03%,0.16%,46,6,0.02%,0.11%,100.00%,83.33%,3,0,7.69%,0.00%,$149.97,$0.00,3,0
B0D4JS969P,B0D4JJC967,"TPS NUTRIENTS Cal-Mag for Plants Plus Iron and Micros, Calcium and Magnesium, Prevent Common Deficiencies, 2-0-0 CalMag Liquid Plant Fertilizer 128 oz (1 Gallon), GARDCALMAG1G",38,3,0.03%,0.08%,49,4,0.02%,0.08%,100.00%,100.00%,3,0,7.89%,0.00%,$119.97,$0.00,3,0
B0DPGW682S,B0DPGX22R1,"Lucky Bamboo Fertilizer, Complete Liquid Lucky Bamboo Plant Food, 32 oz (1 Quart)",14,0,0.01%,0.00%,21,0,0.01%,0.00%,100.00%,0.00%,3,0,21.43%,0.00%,$74.97,$0.00,3,0
B0DPKH8Z2F,B0DPKK517W,"Aspen Tree Fertilizer, Complete Liquid Aspen Tree Plant Food, 1 Gallon (128 oz)",30,2,0.02%,0.05%,42,2,0.02%,0.04%,82.50%,100.00%,3,0,10.00%,0.00%,$149.97,$0.00,3,0
B0DPKLDYR6,B0DPKQMKNJ,"Berry Fertilizer, Complete Liquid Strawberry and Blueberry Plant Food, Great for All Berries, 32 oz (1 Quart)",18,0,0.01%,0.00%,24,0,0.01%,0.00%,100.00%,0.00%,3,0,16.67%,0.00%,$74.91,$0.00,3,0
B0DPM9DVCT,B0DPM95P6P,"Crepe Myrtle Fertilizer, Complete Liquid Crepe Myrtle Tree Plant Food, 1 Gallon (128 oz)",37,3,0.03%,0.08%,47,3,0.02%,0.06%,100.00%,100.00%,3,0,8.11%,0.00%,$149.97,$0.00,3,0
B0DQSG8GXJ,B0DQSZ8QQK,"Ivy Plant Food, Complete Liquid Ivy and Vine Plant Ferilizer, 32 oz (1 Quart)",9,0,0.01%,0.00%,10,0,0.00%,0.00%,100.00%,0.00%,3,0,33.33%,0.00%,$74.97,$0.00,3,0
B0DQTY7K8G,B0DQTHSXXL,"Potassium Nitrate Fertilizer, Essential Potassium and Nitrogen Plant Growth Booster, 32 oz (1 Quart)",18,0,0.01%,0.00%,24,0,0.01%,0.00%,90.00%,0.00%,3,0,16.67%,0.00%,$74.97,$0.00,3,0
B0DQTQY9VH,B0DQTP42TX,"Potash Fertilizer, Complete Liquid Potassium Potash Plant Food, 32 oz (1 Quart)",12,0,0.01%,0.00%,14,0,0.01%,0.00%,100.00%,0.00%,3,0,25.00%,0.00%,$74.97,$0.00,3,0
B0DQTKJR96,B0DQV16ZYT,"Brazilian Wood Fertilizer, Complete Liquid Brazilian Wood Plant Food, 32 oz (1 Quart)",45,1,0.03%,0.03%,54,1,0.03%,0.02%,97.96%,0.00%,3,0,6.67%,0.00%,$74.97,$0.00,3,0
B0FKLR1S2K,B0FKMDJGGW,"Bush Fertilizer for Bushes, Great for Flowering, Evergreen, Fruit Bearing, and Wild Shrubs, Liquid Fertilizer by TPS Plant Foods, 32 oz (1 Quart)",30,0,0.02%,0.00%,38,0,0.02%,0.00%,100.00%,0.00%,3,0,10.00%,0.00%,$74.97,$0.00,3,0
B0FKMF4QD8,B0FKMFJ8JL,"Willow Fertilizer for Willow Trees, Great for Weeping Willow, Corkscrew Willow, and Dappled Willow, Liquid Fertilizer by TPS Plant Foods, 32oz (1 Quart)",12,0,0.01%,0.00%,14,0,0.01%,0.00%,100.00%,0.00%,3,0,25.00%,0.00%,$74.97,$0.00,3,0
B0FKMJCRS9,B0FKMHTXVF,"Vegan Fertilizer for Vegetable Gardens, Works Great for All Types of Plants, Liquid Fertilizer by TPS Plant Foods, 32 oz (1 Quart)",17,0,0.01%,0.00%,28,0,0.01%,0.00%,100.00%,0.00%,4,0,23.53%,0.00%,$99.96,$0.00,3,0
B0FKSVBGW8,B0FKSYCWH3,"Watermelon Fertilizer for Watermelon, Feeds All Varieties, Liquid Fertilizer by TPS Plant Foods, 32 oz (1 Quart)",34,3,0.02%,0.08%,51,9,0.03%,0.17%,100.00%,100.00%,4,0,11.76%,0.00%,$99.96,$0.00,3,0
B0FKSYBXTM,B0FKSZWH86,"Iris Fertilizer for Iris Flower, Feeds Iris Bulbs for Stunning Blooms, Liquid Fertilizer by TPS Plant Foods, 32 oz (1 Quart)",12,0,0.01%,0.00%,14,0,0.01%,0.00%,100.00%,0.00%,3,1,25.00%,0.00%,$74.47,$24.49,3,1
B0FLWVS5PV,B0FLWVS5PV,"Spider Plant Fertilizer Spray, Gentle Foliar Feeding Spray for Healthy Leaves and Plants. Liquid Fertilizer by TPS Plant Foods, 16oz (475ml)",13,0,0.01%,0.00%,19,0,0.01%,0.00%,100.00%,0.00%,3,0,23.08%,0.00%,$29.97,$0.00,3,0
B0FM3DPJ1Z,B0FM3DK9XH,"Transplant Fertilizer for Plants, Transplant Shock Preventor, Great for Seedlings and Repotting, Liquid Fertilizer by TPS Plant Foods, 32oz (1 Quart)",15,0,0.01%,0.00%,24,0,0.01%,0.00%,100.00%,0.00%,3,0,20.00%,0.00%,$59.97,$0.00,3,0
B0FM3L6M2S,B0FM3KVY3F,"Zoysia Grass Fertilizer for Zoysia Grass, Great for Zenith, Emerald, and Zeon Varieties, Liquid Fertilizer by TPS Plant Foods, 32 oz (1 Quart)",34,0,0.02%,0.00%,52,0,0.03%,0.00%,100.00%,0.00%,3,0,8.82%,0.00%,$59.97,$0.00,3,0
B08719XBT4,B07CWPLJ65,"TPS NUTRIENTS Canopy Boost Foliar Spray for All Plants, Boosts Photosynthesis and Corrects Common Yellowing, 1 Gallon (128 oz)",16,1,0.01%,0.03%,22,1,0.01%,0.02%,89.47%,0.00%,3,0,18.75%,0.00%,$209.97,$0.00,2,0
B0BSR972K6,B0BSR9CR4N,"TPS NUTRIENTS Ultra Grow One Part Veg Plant Fertilizer with All NPK Cal-Mag and Micros, 1 Gallon (128 oz)",31,1,0.02%,0.03%,60,1,0.03%,0.02%,100.00%,100.00%,2,0,6.45%,0.00%,$99.98,$0.00,2,0
B0BRTHD3SD,B0C6JZHRHX,"Herb Plant Food for All Edible Herbs, Leafy Greens and Veggies, Liquid Houseplant Fertilizer, 1 Gallon (128 oz)",10,0,0.01%,0.00%,14,0,0.01%,0.00%,66.67%,0.00%,2,0,20.00%,0.00%,$119.98,$0.00,2,0
B0BRTGXTVW,B0C6K147ZF,"Succulent Plant Food for Succulents, Cactus, Jade and Aloe, Liquid Houseplant Fertilizer, 1 Gallon (128 oz)",18,1,0.01%,0.03%,23,3,0.01%,0.06%,100.00%,100.00%,2,1,11.11%,100.00%,$99.98,$49.99,2,1
B0C73R538L,B0C73RC4HM,"Strawberry Fertilizer for Fruit and Berry Gardens, Liquid Plant Food, 1 Gallon (128 oz)",23,2,0.02%,0.05%,34,2,0.02%,0.04%,96.67%,100.00%,3,2,13.04%,100.00%,$147.97,$97.98,2,1
B0C73TPPD9,B0C73RKJQ2,"TPS NUTRIENTS Tomato Fertilizer for Tomato and Vegetable Gardens, Liquid Plant Food, 1 Gallon (128 oz)",8,0,0.01%,0.00%,10,0,0.00%,0.00%,100.00%,0.00%,2,0,25.00%,0.00%,$69.94,$0.00,2,0
B0C73S173V,B0C73S6SN3,"Apple Tree Fertilizer for All Apple, Pear, Nut and Fruit Trees, Liquid Plant Food, 1 Gallon (128 oz)",19,1,0.01%,0.03%,24,1,0.01%,0.02%,100.00%,100.00%,2,1,10.53%,100.00%,$98.98,$48.99,2,1
B0C73RT3P8,B0C73SVVDB,"Azalea Fertilizer for Evergreen Shrubs Azalea, Rhododendron and Camellias, Liquid Plant Food, 1 Gallon (128 oz)",9,1,0.01%,0.03%,13,3,0.01%,0.06%,90.91%,100.00%,2,1,22.22%,100.00%,$99.98,$49.99,2,1
B0C73SSFH8,B0C73TXLZV,"Blueberry Fertilizer for Acid Loving Fruit and Berry Gardens, Liquid Plant Food, 1 Gallon (128 oz)",33,0,0.02%,0.00%,47,0,0.02%,0.00%,100.00%,0.00%,2,0,6.06%,0.00%,$99.98,$0.00,2,0
B0CQ3HYL7R,B0CPG83KXQ,"Peach Tree Fertilizer for All Peach, Nectarine and Stone Fruit Trees, Liquid Plant Food 1 Gallon (128oz)",22,0,0.01%,0.00%,23,0,0.01%,0.00%,100.00%,0.00%,2,0,9.09%,0.00%,$99.98,$0.00,2,0
B0CQ3K9434,B0CPGHTJYC,"Rhododendron Fertilizer for All Rhodies, Azalea and Ericaceae Plants, Liquid Plant Food 8 oz (250mL)",31,0,0.02%,0.00%,38,0,0.02%,0.00%,93.94%,0.00%,2,0,6.45%,0.00%,$23.98,$0.00,2,0
B0CTVP1FFJ,B0CT681ZFT,"TPS NUTRIENTS Root Supplement for Houseplants, Stimulate and Propagate Healthy Houseplant Roots with Probiotics and Seaweed, Liquid Plant Fertilizer, 32 oz (1 Quart)",22,1,0.01%,0.03%,32,1,0.02%,0.02%,100.00%,0.00%,2,0,9.09%,0.00%,$49.98,$0.00,2,0
B0CTRHC6G4,B0CT6BHXJC,"TPS NUTRIENTS Root Supplement for Fiddle Leaf Figs, Stimulate and Propagate Healthy Fig Tree Roots with Probiotics and Seaweed, Liquid Plant Fertilizer, 32 oz (1 Quart)",7,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,2,0,28.57%,0.00%,$49.98,$0.00,2,0
B0D2ZT943T,B0D2ZDR7LN,TPS NUTRIENTS Mycos for Transplanting and Established House Plants (16 Ounces),29,0,0.02%,0.00%,37,0,0.02%,0.00%,96.15%,0.00%,2,0,6.90%,0.00%,$49.98,$0.00,2,0
B0D2ZGQBZ4,B0D2ZQ2F2H,TPS NUTRIENTS Mycos for Transplanting and Established Fruit Trees (16 Ounces),13,1,0.01%,0.03%,18,1,0.01%,0.02%,100.00%,0.00%,2,0,15.38%,0.00%,$49.98,$0.00,2,0
B0D4GFHH8L,B0D4G6QJ7D,"Bonsai Fertilizer, Organic Slow Release Dry Granular Plant Food for Bonsai Trees (6 Ounces)",34,0,0.02%,0.00%,42,0,0.02%,0.00%,100.00%,0.00%,2,0,5.88%,0.00%,$29.98,$0.00,2,0
B0D4GCXMCB,B0D4GN9K54,"TPS NUTRIENTS Compost Tea Starter, Includes Easy and Fast Acting Brew Recipe, Organic Dry Granular Nutrients Plus Probiotics for Plants and Gardens (6 Ounces)",119,1,0.08%,0.03%,169,1,0.08%,0.02%,99.30%,100.00%,3,0,2.52%,0.00%,$35.97,$0.00,2,0
B0D4JT6349,B0D4JGKYCB,"Potassium Fertilizer for Plants, Boosts Growth, Budding and Flowering, Liquid Plant Food 128 oz (1 Gallon)",8,1,0.01%,0.03%,10,1,0.00%,0.02%,100.00%,0.00%,2,0,25.00%,0.00%,$99.98,$0.00,2,0
B0D4JSVRK7,B0D4JHPYZ4,"TPS NUTRIENTS Nitrogen for Plants, Tri-Source N Nitrogen for Lush Green Growth, Liquid Plant Fertilizer, 32 oz (1 Quart)",38,2,0.03%,0.05%,49,2,0.02%,0.04%,15.38%,0.00%,2,0,5.26%,0.00%,$49.98,$0.00,2,0
B0D4JW632D,B0D4JJTPD5,"TPS NUTRIENTS Ultra Strength pH Up, Professional Base pH Adjuster for Soil and Hydroponics, Buffering and Stability Control, 32 oz (1 Quart)",20,0,0.01%,0.00%,34,0,0.02%,0.00%,100.00%,0.00%,2,0,10.00%,0.00%,$39.98,$0.00,2,0
B0D4JTRK9L,B0D4JKJG2S,"Calcium for Plants Made from Organic Inputs, Prevents Common Deficiencies, Liquid Plant Fertilizer 128 oz (1 Gallon)",8,1,0.01%,0.03%,8,1,0.00%,0.02%,100.00%,100.00%,2,1,25.00%,100.00%,$98.98,$48.99,2,1
B0DPH6WG2D,B0DPH8WB8H,"Anthurium Fertilizer, Complete Liquid Anthurium Plant Food, 32 oz (1 Quart)",7,1,0.00%,0.03%,7,1,0.00%,0.02%,100.00%,100.00%,2,0,28.57%,0.00%,$49.98,$0.00,2,0
B0DPKLDYR6,B0DPKQFW48,"Berry Fertilizer, Complete Liquid Strawberry and Blueberry Plant Food, Great for All Berries, 1 Gallon (128 oz)",21,4,0.01%,0.11%,29,4,0.01%,0.08%,100.00%,100.00%,2,2,9.52%,50.00%,$97.98,$97.98,2,2
B0DPKZKLHZ,B0DPKXQN7R,"Daffodil Fertilizer, Complete Liquid Daffodil Bulb Plant Food, 32 oz (1 Quart)",6,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,2,0,33.33%,0.00%,$49.98,$0.00,2,0
B0DPM71SS2,B0DPM5BY61,"Camellia Fertilizer, Complete Liquid Camellia Plant Food, 32 oz (1 Quart)",7,3,0.00%,0.08%,7,3,0.00%,0.06%,100.00%,100.00%,2,1,28.57%,33.33%,$49.98,$24.99,2,1
B0DPM6CGSY,B0DPM884SR,"Compost Tea, Boosts Microbial Activity in Gardens for All Plants, 1 Gallon (128 oz)",38,5,0.03%,0.13%,50,10,0.02%,0.19%,100.00%,100.00%,2,1,5.26%,20.00%,$98.98,$48.99,2,1
B0DPMFMKWL,B0DPMFJZ1H,"Fall Fertilizer, Complete Liquid Seasonal Plant Food, 8 oz (250mL)",47,3,0.03%,0.08%,65,5,0.03%,0.10%,100.00%,100.00%,2,0,4.26%,0.00%,$23.98,$0.00,2,0
B0DQ7V4DC6,B0DQ7VWPXX,"Tree and Shrub Fertilizer, Complete Liquid Tree and Shrub Plant Food, 8 oz (250mL)",32,0,0.02%,0.00%,41,0,0.02%,0.00%,92.31%,0.00%,2,0,6.25%,0.00%,$23.98,$0.00,2,0
B0DQRHPKF8,B0DQR6ZHD8,"Fish Fertilizer, Complete Liquid Fish Plant Food,1 Gallon (128 oz)",18,0,0.01%,0.00%,19,0,0.01%,0.00%,100.00%,0.00%,2,0,11.11%,0.00%,$79.98,$0.00,2,0
B0DQR6ZFLH,B0DQR9875W,"Fertilizante para Orquídeas, Complete Liquid Orchid Plant Food, 8 oz (250mL)",31,2,0.02%,0.05%,39,2,0.02%,0.04%,97.14%,100.00%,2,0,6.45%,0.00%,$23.98,$0.00,2,0
B0DQSHCH55,B0DQSDSHP1,"Hydroponic Plant Food, Complete One Part Liquid Hydroponic Fertilizer, 1 Gallon (128 oz)",33,2,0.02%,0.05%,39,3,0.02%,0.06%,100.00%,100.00%,2,0,6.06%,0.00%,$99.98,$0.00,2,0
B0DQSWML8M,B0DQSFYY1Q,"Orange Tree Fertilizer, Complete Liquid Orange Tree Citrus Plant Food, 1 Gallon (128 oz)",24,4,0.02%,0.11%,37,7,0.02%,0.13%,100.00%,100.00%,2,0,8.33%,0.00%,$99.98,$0.00,2,0
B0DQTSQWFJ,B0DQT9632C,"Muriate of Potash, Essential Potassium Supplement for Plants, 8 oz (250mL)",34,2,0.02%,0.05%,42,3,0.02%,0.06%,100.00%,100.00%,2,1,5.88%,50.00%,$23.98,$11.99,2,1
B0DQTVLH53,B0DQTC6BBF,"Potassium Sulfate Fertilizer, Premium Potassium and Sulfur Plant Nutrient Blend, 32 oz (1 Quart)",12,0,0.01%,0.00%,13,0,0.01%,0.00%,100.00%,0.00%,2,0,16.67%,0.00%,$49.98,$0.00,2,0
B0DQTRLMPB,B0DQTKVNYD,"Cut Flower Food, Liquid Nutrients to Keep Flowers Fresh Longer, 32 oz (1 Quart)",5,0,0.00%,0.00%,14,0,0.01%,0.00%,100.00%,0.00%,2,0,40.00%,0.00%,$49.98,$0.00,2,0
B0DQTVJZPX,B0DQTS6915,"Pitcher Plant Food, Complete Liquid Pitcher Plant Fertilizer, 32 oz (1 Quart)",11,0,0.01%,0.00%,14,0,0.01%,0.00%,100.00%,0.00%,2,0,18.18%,0.00%,$49.98,$0.00,2,0
B0DSGMHTW3,B0DSGKH3HK,Kratky Hydroponic Fertilizer - 32oz,4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,2,0,50.00%,0.00%,$49.98,$0.00,2,0
B0DSGMHTW3,B0DSGKN9QC,Kratky Hydroponic Fertilizer - 8oz,74,3,0.05%,0.08%,104,3,0.05%,0.06%,89.36%,100.00%,2,0,2.70%,0.00%,$23.98,$0.00,2,0
B0FKMQMDDW,B0FKLVCSS3,"Juniper Fertilizer for Juniper Trees, Great for All Varieities Including Creeping, Common, and Chinese, Liquid Fertilizer by TPS Plant Foods, 1 Gallon (128 oz)",7,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,2,0,28.57%,0.00%,$99.98,$0.00,2,0
B0FKMCFJGB,B0FKLVJ3M8,"Pear Tree Fertilizer for Pear Trees, Also Great for Apple and Quince Trees, Liquid Fertilizer by TPS Plant Foods, 32 oz (1 Quart)",16,0,0.01%,0.00%,17,0,0.01%,0.00%,100.00%,0.00%,2,0,12.50%,0.00%,$49.98,$0.00,2,0
B0FKMCFJGB,B0FKMB5WDY,"Pear Tree Fertilizer for Pear Trees, Also Great for Apple and Quince Trees, Liquid Fertilizer by TPS Plant Foods, 8 oz (250mL)",66,2,0.04%,0.05%,80,3,0.04%,0.06%,97.30%,100.00%,3,0,4.55%,0.00%,$35.97,$0.00,2,0
B0FKMQVTR4,B0FKMDVCG3,"Cherry Tree Fertilizer for Cherry Trees, Great for Bing, Rainier, and Montmorency Varieties, Liquid Fertilizer by TPS Plant Foods, 1 Gallon (128 oz)",19,1,0.01%,0.03%,28,1,0.01%,0.02%,100.00%,100.00%,2,0,10.53%,0.00%,$99.98,$0.00,2,0
B0FKMTH6PL,B0FKMTVCRG,"Thuja Green Giant Fertilizer, Vigorous Growth for Thuja Green Giant and Other Arborvitae Varieties, Liquid Fertilizer by TPS Plant Foods, 1 Gallon (128 oz)",16,0,0.01%,0.00%,20,0,0.01%,0.00%,100.00%,0.00%,2,0,12.50%,0.00%,$99.98,$0.00,2,0
B0FKSSHWH5,B0FKS4FXKB,"Melon Fertilizer for Melon Plants, Feeds Cantaloupes, Watermelons, and Specialty Melons, Liquid Fertilizer by TPS Plant Foods, 8 oz (250mL)",11,1,0.01%,0.03%,14,1,0.01%,0.02%,90.91%,100.00%,2,0,18.18%,0.00%,$23.98,$0.00,2,0
B0FKSD7JWN,B0FKSL8XQ8,"7-7-7 Fertilizer for Plants, Great for Vegetables, Flowers, and Shrubs, Liquid Plant Fertilizer by TPS Plant Foods, 1 Gallon (128oz)",16,2,0.01%,0.05%,23,2,0.01%,0.04%,89.47%,100.00%,2,1,12.50%,50.00%,$79.18,$39.19,2,1
B0FKSLZF2Y,B0FKSN2YHZ,"Honeysuckle Fertilizer for Honeysuckle Plants, Great for Vines, Shrubs, and Ground Covers, Liquid Fertilizer by TPS Plant Foods, 8 oz (250mL)",14,0,0.01%,0.00%,16,0,0.01%,0.00%,92.86%,0.00%,2,0,14.29%,0.00%,$23.98,$0.00,2,0
B0FKSP698D,B0FKSQTCCS,"Clematis Fertilizer for Clematis, Great for Sweet Autumn, White, and Nelly Moser Varieties, Liquid Fertilizer by TPS Plant Foods, 32 oz (1 Quart)",10,0,0.01%,0.00%,12,0,0.01%,0.00%,100.00%,0.00%,2,0,20.00%,0.00%,$49.98,$0.00,2,0
B0FKSJS9LN,B0FKSR5HQN,"Clover Fertilizer for Clover Lawns, Great for Microclover and Dutch White Clover, Liquid Fertilizer by TPS Plant Foods, 8oz (250ml)",19,3,0.01%,0.08%,25,6,0.01%,0.11%,100.00%,100.00%,2,0,10.53%,0.00%,$19.94,$0.00,2,0
B0FKSJS9LN,B0FKST1F77,"Clover Fertilizer for Clover Lawns, Great for Microclover and Dutch White Clover, Liquid Fertilizer by TPS Plant Foods, 32oz (1 Quart)",46,1,0.03%,0.03%,65,7,0.03%,0.13%,100.00%,0.00%,2,0,4.35%,0.00%,$49.98,$0.00,2,0
B0FKSZMX85,B0FKSTM2LQ,"Grape Fertilizer for Grape Vines, Great for All Varieties Including Concord, Thompson Seedless, Chardonnay, and More, Liquid Fertilizer by TPS Plant Foods, 1 Gallon (128 oz)",28,3,0.02%,0.08%,40,8,0.02%,0.15%,100.00%,100.00%,5,5,17.86%,166.67%,$195.95,$195.95,2,2
B0FKSMXNYN,B0FKSV6M4T,"Peony Fertilizer for Peony Flowers, Feeds Peony Flowers and Peony Bulbs for Stunning Blooms, Liquid Fertilizer by TPS Plant Foods, 32 oz (1 Quart)",13,1,0.01%,0.03%,22,2,0.01%,0.04%,100.00%,100.00%,2,1,15.38%,100.00%,$49.98,$24.99,2,1
B0FKSVBGW8,B0FKSY6FGW,"Watermelon Fertilizer for Watermelon, Feeds All Varieties, Liquid Fertilizer by TPS Plant Foods, 8 oz (250mL)",11,2,0.01%,0.05%,13,2,0.01%,0.04%,83.33%,100.00%,2,0,18.18%,0.00%,$23.98,$0.00,2,0
B0FLWV9VXQ,B0FLWV9VXQ,"Jade Fertilizer Spray, Gentle Foliar Feeding Spray for Healthy Leaves and Plants, Liquid Fertilizer by TPS Plant Foods, 16oz (475ml)",3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,2,0,66.67%,0.00%,$19.98,$0.00,2,0
B0FLWX758L,B0FLWX758L,"Orchid Food Spray, Gentle Foliar Feeding Spray for Healthy Leaves and Plants. Liquid Fertilizer by TPS Plant Foods, 16oz (475ml)",17,1,0.01%,0.03%,23,3,0.01%,0.06%,100.00%,0.00%,2,0,11.76%,0.00%,$23.98,$0.00,2,0
B0FM3H3LNG,B0FM39KF3H,"Bermuda Grass Fertilizer for Bermuda Grass, Great for Tifway, Celebration, and Princess Varieties, Liquid Fertilizer by TPS Plant Foods, 1 Gallon (128 oz)",7,0,0.00%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,2,0,28.57%,0.00%,$79.98,$0.00,2,0
B0FM3H3LNG,B0FM3CT9KY,"Bermuda Grass Fertilizer for Bermuda Grass, Great for Tifway, Celebration, and Princess Varieties, Liquid Fertilizer by TPS Plant Foods, 32 oz (1 Quart)",33,1,0.02%,0.03%,42,1,0.02%,0.02%,97.30%,100.00%,2,0,6.06%,0.00%,$39.98,$0.00,2,0
B073ZPHV76,B07PDNVZ5G,"Bloom City Organic SuperGreen Kelp Foliar Spray for Plants, Gallon (128 oz)",11,0,0.01%,0.00%,11,0,0.01%,0.00%,0.00%,0.00%,1,0,9.09%,0.00%,$0.00,$0.00,1,0
B09NZTL8S4,B0B33WCTHN,"TPS NUTRIENTS Billions Concentrated Microbial Root Enhancer, 100% Water-Soluble with Mycorrhizae, Bacteria and Trichoderma, 25 Pound",45,4,0.03%,0.11%,50,6,0.02%,0.11%,100.00%,100.00%,1,0,2.22%,0.00%,$699.99,$0.00,1,0
B0BSR972K6,B0BSR8P3XY,"Ultra Grow by TPS Nutrients, One Part Veg Plant Fertilizer with All NPK Cal-Mag and Micros, 5 Gallon (640 oz)",13,3,0.01%,0.08%,22,5,0.01%,0.10%,100.00%,100.00%,1,0,7.69%,0.00%,$139.97,$0.00,1,0
B0BZ9XSTGN,B0BZB814JM,"Bloom City's Acid-Loving Plant Fertilizer - Soil Acidifier - for All Acid Loving Plants, Gallon (128 oz)",23,0,0.02%,0.00%,36,0,0.02%,0.00%,31.03%,0.00%,1,1,4.35%,0.00%,$49.99,$48.99,1,1
B0BZ9KFVGZ,B0BZBD3KLY,"Bloom City's Organic Soil Acidifier - The Best Soil Acidifier Blueberry and Hydrangea Acidic Fertilizer for Optimal Plant Health, Gallon (128 oz)",17,3,0.01%,0.08%,23,5,0.01%,0.10%,100.00%,100.00%,1,0,5.88%,0.00%,$49.99,$0.00,1,0
B0C73TPPD9,B0C73RDPZM,"TPS NUTRIENTS Tomato Fertilizer for Tomato and Vegetable Gardens, Liquid Plant Food, 32 oz (1 Quart)",20,0,0.01%,0.00%,29,0,0.01%,0.00%,100.00%,0.00%,1,0,5.00%,0.00%,$24.99,$0.00,1,0
B0C73T5V8Q,B0C73T5V8Q,"Strawberry Fertilizer for Fruit and Berry Gardens, Liquid Plant Food, 32 oz (1 Quart)",8,1,0.01%,0.03%,11,1,0.01%,0.02%,11.11%,0.00%,2,2,25.00%,200.00%,$48.98,$48.98,1,1
B0C73SWQ79,B0C73TDLPX,"African Violet Fertilizer for Indoor Flowering Plants, Liquid Plant Food, 1 Gallon (128 oz)",2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$59.99,$0.00,1,0
